"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","ENSEMBL","hgnc_symbol","gene_biotype"
"ENSG00000187730.9",165.650168862701,4.46569137941569,0.194240446743268,22.9905328899809,5.79733121859795e-117,1.31773338598731e-112,"Upregulated","ENSG00000187730","GABRD","protein_coding"
"ENSG00000130300.9",4381.70325385946,2.91140082851975,0.138135983929392,21.0763390226251,1.31143869953331e-98,1.49045008201961e-94,"Upregulated","ENSG00000130300","PLVAP","protein_coding"
"ENSG00000100526.20",363.088233729269,3.90047827945166,0.189734316155441,20.5575794536618,6.58364669646504e-94,4.98820964702168e-90,"Upregulated","ENSG00000100526","CDKN3","protein_coding"
"ENSG00000158402.20",191.892365745498,4.34355293456391,0.213232280424101,20.3700533799336,3.08341688232441e-92,1.75215164338084e-88,"Upregulated","ENSG00000158402","CDC25C","protein_coding"
"ENSG00000077152.11",363.985603866315,3.18855695573312,0.157592458072134,20.2329286232317,5.02292452064401e-91,2.28342148708477e-87,"Upregulated","ENSG00000077152","UBE2T","protein_coding"
"ENSG00000143228.13",264.386845592192,4.17591424494121,0.207234091579651,20.1507107885104,2.65277709292853e-90,1.00496038870442e-86,"Upregulated","ENSG00000143228","NUF2","protein_coding"
"ENSG00000117724.13",973.042231145964,3.87309871475607,0.192422680830423,20.1280779274109,4.18931611437377e-90,1.36033078971023e-86,"Upregulated","ENSG00000117724","CENPF","protein_coding"
"ENSG00000154839.10",216.892737636066,4.45530865280258,0.221957866553568,20.0727675120598,1.27692314139602e-89,3.62805787549145e-86,"Upregulated","ENSG00000154839","SKA1","protein_coding"
"ENSG00000043355.12",230.016092102661,6.65817279062142,0.332866321047096,20.0025426714149,5.23350867186479e-89,1.32175169012763e-85,"Upregulated","ENSG00000043355","ZIC2","protein_coding"
"ENSG00000135451.13",316.194401897361,4.14979873811197,0.208154574635556,19.9361399833637,1.97748046081912e-88,4.49481308744185e-85,"Upregulated","ENSG00000135451","TROAP","protein_coding"
"ENSG00000237649.8",621.535699673539,3.75757229974409,0.190752500821312,19.6986790923597,2.21319107419608e-86,4.57325755604336e-83,"Upregulated","ENSG00000237649","KIFC1","protein_coding"
"ENSG00000090889.12",452.488016271482,3.90876682526214,0.19984520852637,19.5589719367545,3.45982734958584e-85,6.55348963800718e-82,"Upregulated","ENSG00000090889","KIF4A","protein_coding"
"ENSG00000089685.15",1008.08374592822,4.07961721607819,0.208766214136399,19.5415586423038,4.86729970329305e-85,8.51028632737316e-82,"Upregulated","ENSG00000089685","BIRC5","protein_coding"
"ENSG00000123485.12",329.225731052741,3.88428472364239,0.199054141583827,19.5137096507314,8.39623150992224e-85,1.32762230949729e-81,"Upregulated","ENSG00000123485","HJURP","protein_coding"
"ENSG00000137135.18",170.458459739231,3.1442651641254,0.161149046718201,19.5115343724232,8.7612558919751e-85,1.32762230949729e-81,"Upregulated","ENSG00000137135","ARHGEF39","protein_coding"
"ENSG00000147257.15",28855.2341049609,5.92486587008782,0.304674965538378,19.4465136300853,3.11932113253849e-84,4.43138558391249e-81,"Upregulated","ENSG00000147257","GPC3","protein_coding"
