"Gene","Drug","Mechanism","Stage","HCC_Evidence","Source","ClinicalTrial"
"CDK1","Dinaciclib","CDK1/2/5/9 pan-inhibitor","Phase II (solid tumors)","YES — HCC proliferation suppressed in vitro","HCC cell lines; prognostic marker","NCT01676753"
"CDK1","AT7519","CDK1/2/4/6 inhibitor","Phase I/II","YES — HCC xenograft growth inhibition","Preclinical HCC models","NCT02590107"
"CDK1","RO-3306","Selective CDK1 inhibitor","Preclinical","Limited — HCC models show G2/M arrest","In vitro HCC","—"
"CDK1","Flavopiridol","CDK1/2/4/7 pan-inhibitor","Phase II (completed HCC)","YES — Phase II HCC trial completed but modest efficacy","NCI HCC trial","NCT00006379"
"PLK1","Volasertib (BI6727)","PLK1 ATP-competitive inhibitor","Phase III (AML) Phase II (solid tumors)","YES — HCC cell lines; PLK1 overexpression in >50% HCC; HR=1.37","HCC prognostic; Volasertib in HCC Phase II","NCT02139267"
"PLK1","BI2536","PLK1 inhibitor","Phase II","In vitro confirmed; synergy with sorafenib in HCC cell lines","HCC models","NCT00701766"
"PLK1","Onvansertib (PCM-075)","Oral PLK1 inhibitor","Phase II (CRC + FOLFIRI)","Limited — mainly CRC; HCC relevance inferred","MSS-CRC trials","—"
"PLK1","Rigosertib (ON-01910)","PLK1/PI3K dual inhibitor","Phase III (MDS) Phase II (solid tumors)","YES — anti-tumor activity in HCC","HCC xenograft models","NCT02562443"
"SPP1","Huzhangoside D","SPP1 signaling modulator","Preclinical (HCC)","YES — suppresses HCC cell migration/invasion via PI3K/Akt","HCC cell lines (PMID: 26801188)","—"
"SPP1","Anti-SPP1 monoclonal Ab","SPP1 neutralizing antibody","Preclinical","YES — reduces HCC tumor growth in xenografts","HCC xenograft (PMID: 24980822)","—"
"SPP1","AS1411 (aptamer)","SPP1-binding DNA aptamer","Preclinical","Limited — SPP1 targeting in cancer models","Pancreatic cancer models","—"
"BUB1B","BAY-1816032","BUB1/BUB1B dual kinase inhibitor","Preclinical","Preclinical — CIN-high cancers selectively sensitive; HCC relevance inferred but untested","Solid tumor models (PMID: 33462184)","—"
"BUB1B","BUB1B siRNA","Gene silencing of BUB1B","Preclinical (in vitro)","In vitro — BUB1B siRNA reduces HCC cell viability","HCC cell lines (PMID: 28030831)","—"
"NR0B1","No known drug","Nuclear receptor — no known ligand/drug","No development","None — NR0B1 (DAX1) is an orphan nuclear receptor with no known ligand or drug","—",""
"NR0B1","Eunicellin-derived diterpenoid","NR0B1 inverse agonist (speculative)","Discovery","None — speculative computational docking only; no in vitro validation","Computational only","—"
