"Rank","Drug","Target","Connectivity_Score","Prolif_Reversed","Apoptosis_Restored","Phase","Mechanism"
1,"Volasertib","PLK1",-35,15,5,"Phase III","PLK1 inhibitor"
2,"Dinaciclib","CDK1/2/5/9",-24,10,4,"Phase II","CDK inhibitor"
3,"BI2536","PLK1",-17,7,3,"Phase II","PLK1 inhibitor"
4,"Doxorubicin","TOP2A",-15,5,5,"FDA Approved","Topoisomerase II inhibitor"
5,"Nutlin3","MDM2",-14,4,6,"Preclinical","MDM2 inhibitor (p53 activator)"
6,"Alisertib","AURKA",-12,5,2,"Phase II","Aurora A inhibitor"
7,"Flavopiridol","CDK1/2/4/7",-12,5,2,"Phase II","Pan-CDK inhibitor"
8,"Sorafenib","VEGFR2/RAF",-11,4,3,"FDA Approved","Multi-kinase inhibitor"
9,"Metformin","AMPK",-11,4,3,"FDA Approved","AMPK activator"
10,"Palbociclib","CDK4/6",-10,4,2,"FDA Approved","CDK4/6 inhibitor"
