"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Ontology","Direction","GeneRatio","p.adjust","Count"
"CMG Complex (GO:0071162)","10/10",2.13348922303845e-09,7.89391012524226e-07,0,0,172800,3450039.62076622,"GINS1;GINS2;MCM7;GINS3;GINS4;MCM3;MCM4;MCM5;MCM6;MCM2","CC","Up",1,7.89391012524226e-07,10
"Neuron Projection (GO:0043005)","118/557",4.15139463640057e-07,7.68008007734105e-05,0,0,1.73971485050049,25.5645031177305,"CHRM3;STMN2;HTR4;SLC8A2;ARHGAP44;SCGN;TMEM266;STMN1;ADORA1;HMCN2;HOMER3;NRCAM;BSN;EPHB2;VSTM5;CMKLR2;CHRNB2;CHRNB4;UNC13A;EPHA6;SLC30A3;GABRG3;GABRG2;RGS9BP;MAP1B;MAP1A;STX1A;CHRNA1;GRIA2;TPH1;CHRNA3;EPHA10;CHRNA5;SLC1A3;MCHR1;CRHR2;CALCR;MAP2;KCNN1;APOD;NPTX1;KCNN3;MAGEC2;BRINP3;DRD4;SYT5;NMB;SYT2;CNTN5;HTR1D;SYT8;ZWINT;PTK7;FGF13;CNIH4;CD200;SNAP25;PCSK1;NRSN2;KCNC1;KCNC2;PTGDR2;RASGRF1;MAST1;SLC6A2;SLC6A3;ROBO1;GABRR3;CALB2;GABRR2;GRM2;CALB1;GRM7;DNER;TMEM108;NEFL;KIF1A;INSRR;HTR3A;HTR3B;SYP;CCSAP;SSTR3;SSTR5;IL1RAPL1;DCX;CDH13;TNFRSF25;MAPT;DBN1;HCN4;HCN3;NLGN1;PLPPR1;PRKAA2;GRP;SEMA3A;CAMK2A;ADAM22;LRP4;STMND1;ADCY8;CHRND;CTNNA2;GABRE;GABRD;GABRA2;GABRQ;SLC12A5;GABRA3;LIMK1;SEPTIN3;GRIN1;KISS1;USH1G;ADGRL1;HCN2;CDK5R1","CC","Up",0.211849192100539,7.68008007734105e-05,118
"Microtubule Cytoskeleton (GO:0015630)","77/342",4.20614077278011e-06,0.000452800723509883,0,0,1.87059445027449,23.1560232510821,"SPEF1;MAST2;KIF14;BUB1B;KIF11;KIF15;CDC20;PYCARD;RUSC1;KIF5A;KIF21B;SOX9;KIF1A;TEKT5;GTSE1;CDK5RAP3;APC2;CCT3;GAS2L3;CKAP2L;CKAP2;KIF24;KIF23;KIF22;HASPIN;KIF7;TUBG1;GABRG3;CCSAP;TUBA4B;DNM3;ANKFN1;PSRC1;KIFC2;INCENP;KIFC1;MAP1B;MAP1A;MAP7D2;BIRC5;KIF2C;KIF20A;ARHGEF2;MAPT;EFHC2;TRIM54;CDCA8;ARL2;TTK;HMMR;NDRG1;SKA1;AURKB;AURKA;TUBA3E;CCNB2;TUBA3D;TUBA3C;RACGAP1;CLTCL1;FAM83D;HOXC8;SAC3D1;PLK1;TUBB8B;DCDC2;SEPTIN3;FHDC1;TUBB4A;TPX2;CENPE;CENPF;KIF18A;TTLL3;PRC1;TBCE;FGF13","CC","Up",0.225146198830409,0.000452800723509883,77
"Nuclear Chromosome (GO:0000228)","30/95",4.97385779851291e-06,0.000452800723509883,0,0,2.95367457820989,36.0682500970431,"TOP2A;BLM;IHO1;MCM7;NCAPG2;NCAPG;SMC4;NCAPH;PSMC3IP;CDC45;FIGNL1;CHEK1;SHOC1;GINS1;H2AZ1;GINS2;GINS3;GINS4;HMGA2;P3H4;TUBG1;RAD51;DMC1;MCM3;BIRC5;MCM4;MCM5;NCAPD2;MCM6;MCM2","CC","Up",0.315789473684211,0.000452800723509883,30
"Condensed Chromosome (GO:0000793)","22/60",6.1189286960795e-06,0.000452800723509883,0,0,3.69985564355663,44.4135241751879,"L3MBTL1;IHO1;SYCP2L;NCAPG2;NSMCE2;HMGB2;NCAPG;P3H4;MKI67;TUBG1;SMC4;CENPA;NCAPH;SGO1;PSMC3IP;CENPE;RAD51;FANCD2;CHEK1;DMC1;NCAPD2;SHOC1","CC","Up",0.366666666666667,0.000452800723509883,22
"Postsynaptic Density (GO:0014069)","41/151",7.72845782118453e-06,0.000476588232306379,0,0,2.38884929926363,28.1181924785472,"GRIA2;RPL30;CHRNA3;NLGN1;DAGLA;CTNND2;PLPPR4;GRIK4;LRP4;CACNA1C;GRIK2;RPL8;FOXM1;ADCY8;SLC8A2;ARHGAP44;GRIN2A;CACNG8;SYNDIG1;TMEM108;SPOCK1;HOMER3;SH2D5;CACNG4;INSYN1;SCRIB;NETO2;MAPK8IP2;GRIN2C;SHISA6;GRIN2D;GRIN1;DNM3;GRIN3B;GAP43;FABP5;DNAJC6;DLG5;ADGRL1;CNIH4;CDK5R1","CC","Up",0.271523178807947,0.000476588232306379,41
"Spindle (GO:0005819)","52/210",9.53824993333956e-06,0.000504164639333663,0,0,2.11210217675972,24.4163247126431,"BUB1B;KIF11;CDC20;DLGAP5;CKAP2L;CKAP2;KIF23;KIF22;HASPIN;TUBG1;CCSAP;ANKFN1;KAT2A;PSRC1;KIFC2;ESPL1;INCENP;KIFC1;KIF2C;KIF20A;CAPG;TTK;WDR62;HMMR;SKA3;SKA1;AURKB;AURKA;RACGAP1;CLTCL1;ECT2;FAM83D;SAC3D1;SPAG5;ODAM;PLK1;TUBB8B;DCDC2;CDC7;CDC6;PYCR3;TUBB4A;ATAT1;TPX2;CENPE;CENPF;YEATS2;PRC1;KIF4A;TACC3;CDK1;MAD2L1","CC","Up",0.247619047619048,0.000504164639333663,52
"Microtubule (GO:0005874)","47/185",1.22385901754931e-05,0.000566034795616557,0,0,2.18414417931326,24.7046723690213,"SPEF1;KIF14;KIF11;SKA3;NDRG1;SKA1;AURKB;KIF15;AURKA;PYCARD;TUBA3E;TUBA3D;TUBA3C;KIF5A;KIF21B;KIF1A;CDK5RAP3;CCT3;PLK1;TUBB8B;DCDC2;KIF24;KIF23;KIF22;FHDC1;KIF7;TUBG1;TUBA4B;TUBB4A;DNM3;CENPE;PSRC1;KIFC2;KIFC1;PRC1;MAP1B;KIF4A;MAP1A;TBCE;CDK1;KIF2C;KIF20A;ARHGEF2;EFHC2;MAPT;FGF13;TRIM54","CC","Up",0.254054054054054,0.000566034795616557,47
"Condensed Nuclear Chromosome (GO:0000794)","13/28",2.67854772658368e-05,0.00102460973633569,0,0,5.52752124122645,58.1918129218955,"IHO1;NCAPG2;NCAPG;P3H4;TUBG1;SMC4;NCAPH;PSMC3IP;RAD51;CHEK1;DMC1;NCAPD2;SHOC1","CC","Up",0.464285714285714,0.00102460973633569,13
"Mitotic Spindle (GO:0072686)","38/143",2.76921550360998e-05,0.00102460973633569,0,0,2.31756684776819,24.3213840612031,"CAPG;WDR62;KIF11;SKA3;SKA1;AURKA;RACGAP1;HAUS7;ECT2;FAM83D;DLGAP5;SPAG5;CKAP2L;ODAM;TUBB8B;CKAP2;DCDC2;CDC7;KIF23;CDC6;PYCR3;KIF22;TUBG1;CCSAP;TUBB4A;ATAT1;TPX2;CENPE;KIF18A;KAT2A;KIF18B;YEATS2;ESPL1;KIFC2;KIFC1;CDK1;TACC3;MAD2L1","CC","Up",0.265734265734266,0.00102460973633569,38
