"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Ontology","Direction","GeneRatio","p.adjust","Count"
"Double-Stranded DNA Binding (GO:0003690)","144/650",1.03047007370106e-09,8.99600374341029e-07,0,0,1.85311663761569,38.3470072633747,"ZNF296;HOXA13;HOXA11;FOXQ1;HOXA10;HOXA9;ZSCAN31;CREB3L1;DPF1;SOX9;PITX2;PITX1;MNX1;SOX4;HES6;OSR2;DDX11;ZBTB32;BHLHA15;SOX12;OVOL1;POU3F2;ISL2;NEIL3;HOXB9;MYCN;MSH2;POLG2;MSH4;RFX5;MSH5;DPEP1;LMX1B;HOXB7;DLX1;GCM1;DLX2;DLX3;DLX4;HOXD1;DLX5;DLX6;SHOX2;HOXB13;GLIS2;RAD51AP1;SOHLH2;ALX3;HOXC4;OTX1;HOXC9;MSC;HOXC8;ZSCAN16;NKX2-3;ZNF541;TFAP2A;TFAP2E;ZBTB12;EVX1;POU2F3;H1-2;ISX;NFATC4;H1-4;LIN28B;TLX2;MAFG;SP6;SNAI2;HOXD4;SP8;HOXD3;LHX4;MELTF;HOXD9;HOXD8;VSX1;MESP2;FEN1;RHOXF1;HMGB2;SIX1;NR2E1;MEOX2;MEOX1;HOXC10;DMBX1;HEY1;SIX4;SIX2;MYBL2;ZNF385D;TEAD2;NKX3-2;EMX1;FOXD2;KLF13;EN2;PAX6;ETV4;POU5F1;NR5A1;PAX8;TGIF2LX;DMC1;MAPT;FOXC2;UHRF1;LEF1;FOXK1;HOXD10;PSMC3IP;E2F1;IGF2BP1;HSF4;E2F2;MSX1;RXRG;HES2;E2F7;HES5;SPDEF;DRGX;E2F8;ARNT2;CENPX;ZNF580;IRX5;CDX2;CDX1;IRX3;PRRX2;PDX1;ZIC4;ZIC5;GTF2H4;VAX2;TBX18;BATF;RAD51;NR6A1;WT1;ZNF454","MF","Up",0.221538461538462,8.99600374341029e-07,144
"Sequence-Specific DNA Binding (GO:0043565)","149/717",4.60095999008383e-08,2.00831903567159e-05,0,0,1.70515664973896,28.8076253915121,"ZNF296;SCX;MYRFL;HOXA13;HOXA11;FOXQ1;SOX2;HOXA10;HOXA9;ZSCAN31;CREB3L1;DPF1;MAEL;SOX9;PITX2;PITX1;MNX1;SOX4;HES6;JMJD4;OSR2;ZBTB32;BHLHA15;SOX12;OVOL1;POU3F2;ISL2;HOXB9;MYCN;RFX5;DPEP1;ZNF711;LMX1B;HOXB7;PIF1;DLX1;GCM1;DLX2;DLX3;DLX4;HOXD1;DLX5;DLX6;SHOX2;HOXB13;GLIS2;PGBD1;TERT;PRDM16;SOHLH2;ALX3;ZKSCAN3;HOXC4;OTX1;HOXC9;MSC;HOXC8;ZSCAN16;NKX2-3;ZNF300;ZNF541;TFAP2A;FOXF2;TFAP2E;ZBTB12;EVX1;POU2F3;ISX;NFATC4;LIN28B;LHX3;TLX2;MAFG;SP6;SNAI2;HOXD4;SP8;HOXD3;LHX4;MELTF;HOXD9;HOXD8;VSX1;MESP2;RHOXF1;SIX1;NR2E1;MEOX2;MEOX1;HOXC10;SMG5;DMBX1;HEY1;SIX4;SIX2;MYBL2;ZNF385D;TEAD2;NKX3-2;FOXD4;EMX1;FOXD2;KLF13;EN2;TET1;PAX6;FOXL1;ETV4;POU5F1;MMP12;NR5A1;PAX8;TGIF2LX;MAPT;FOXC2;MYRF;UHRF1;LEF1;FOXK1;HOXD10;E2F1;HSF4;E2F2;MSX1;RXRG;HES2;E2F7;HES5;SPDEF;DRGX;E2F8;ARNT2;ZNF580;IRX5;CDX2;CDX1;FBXL19;IRX3;PRRX2;PDX1;ZIC4;ZIC5;VAX2;TBX18;BATF;NR6A1;WT1;POU2AF2;ZNF454","MF","Up",0.207810320781032,2.00831903567159e-05,149
"Single-Stranded DNA Helicase Activity (GO:0017116)","14/22",7.82464881092806e-08,2.27697280398007e-05,0,0,11.169992609017,182.779078157677,"PIF1;POLQ;RFC3;RFC4;MCM7;MCM8;DSCC1;RAD51;MCM3;MCM4;MCM5;DNA2;MCM6;MCM2","MF","Up",0.636363636363636,2.27697280398007e-05,14
"Sequence-Specific Double-Stranded DNA Binding (GO:1990837)","145/715",3.23569314383206e-07,7.06190028641347e-05,0,0,1.65079202861523,24.6691925541221,"ZNF296;PRDM9;HOXA13;HOXA11;FOXQ1;SOX2;HOXA10;HOXA9;ZSCAN31;CREB3L1;DPF1;SOX9;PITX2;PITX1;MNX1;SOX4;KCNH2;HES6;OSR2;DDX11;ZBTB32;SOX11;BHLHA15;SOX12;OVOL1;POU3F2;ISL2;HOXB9;MYCN;RFX6;RFX5;LMX1B;HOXB7;DLX1;GCM1;DLX2;DLX3;DLX4;HOXD1;DLX5;DLX6;SHOX2;HOXB13;GLIS2;ORC1;PRDM16;SOHLH2;ALX3;ZBED2;HOXC4;OTX1;HOXC9;MSC;HOXC8;ZSCAN16;NKX2-3;ZNF541;TFAP2A;TFAP2E;ANKRD23;HMGA2;ZBTB12;EVX1;CDC6;POU2F3;ISX;NFATC4;LIN28B;TLX2;MAFG;SP6;SNAI2;HOXD4;SP8;HOXD3;LHX4;MELTF;HOXD9;HOXD8;VSX1;TP73;MESP2;MESP1;RHOXF1;HMGB2;SIX1;MCM10;NR2E1;GLI1;MEOX2;MEOX1;HOXC10;DMBX1;HEY1;SIX4;SIX2;MYBL2;ZNF385D;TEAD2;NKX3-2;EMX1;FOXD2;KLF13;EN2;PAX6;ETV4;POU5F1;NR5A1;PAX8;TGIF2LX;KIF2C;FOXC2;LEF1;FOXK1;HOXD10;CDC45;BEND3;E2F1;HSF4;E2F2;MSX1;RXRG;HES2;E2F7;HES5;SPDEF;DRGX;E2F8;ARNT2;ZNF580;IRX5;CDX2;CDX1;IRX3;PRRX2;PDX1;FOXJ1;ZIC4;ZIC5;VAX2;TBX18;BATF;NR6A1;WT1;ZNF454","MF","Up",0.202797202797203,7.06190028641347e-05,145
"Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843)","26/76",4.0576173333477e-06,0.000604371365486458,0,0,3.32576095025984,41.2890382451035,"HCN4;KCNG2;HCN3;KCNC1;KCNC2;KCNE5;CACNA1C;CACNA1E;LRRC52;CACNA1I;CACNG8;CACNA1S;CACNG4;KCNH2;TMC1;KCNH3;KCNF1;KCNH4;KCNH5;KCNJ11;CACNA2D3;CACNB1;CACNB3;CACNB4;KCNQ3;HCN2","MF","Up",0.342105263157895,0.000604371365486458,26
"DNA Binding (GO:0003677)","161/846",4.15375508925401e-06,0.000604371365486458,0,0,1.52420111642607,18.8871347688478,"PAGE4;PRDM7;JRK;EHF;PRDM9;SCX;MYRFL;HOXA13;SOX2;H2AC13;EME1;MAEL;SOX9;OSR2;JMJD4;H2AC8;DDX11;ZBTB32;SOX12;POU3F2;WDR76;HIC2;ISL2;NEIL3;MYCN;MSH2;POLG2;MSH4;RFX5;MSH5;DPEP1;ZNF711;TRIM16;DNA2;NUPR1;GCM1;BLM;DNMT1;DLX3;DLX4;HOXB13;PGBD1;RAD51AP1;CYP27B1;TERT;WBP2NL;PRDM16;ZKSCAN3;CLSPN;ZNF300;TFAP2A;CDT1;H4C9;FOXF2;TREX2;HMGA1;HMGA2;POU2F3;FANCG;H1-2;H1-4;H2AC25;LHX3;TLX2;H2AC20;SP6;SNAI2;MELTF;TCF3;LHX4;HROB;SIM1;SIM2;EZH2;PHF19;H2AX;TOP2A;FEN1;RHOXF1;MCM7;MCM8;HMGB2;ZNF43;SIX1;MCM10;BRCA2;GLI1;MEOX2;CHTF18;MEOX1;DMBX1;MECOM;ZIC2;EXO1;DNMT3B;ANKRD1;TIGD1;FOXD4;TIGD3;FOXD2;TIGD5;RFC3;TIGD7;SPHK1;DNMT3A;TET1;PAX6;FOXL1;H2BC17;POU5F1;SMC1B;MMP12;NR5A1;MMS22L;H2BC15;PAX8;TAL2;DMC1;H2BC11;MCM3;ZNF239;MCM4;MCM5;MCM6;MAPT;DNASE1;DNASE1L2;MCM2;FOXC2;PCNA;MYRF;LEF1;LIN9;PSMC3IP;FOXS1;CDC45;POLD1;E2F1;IGF2BP1;E2F2;SHOC1;SPDEF;H2AZ1;H2BC9;ZNF341;POLQ;H2BC8;ATAD5;CENPX;FOXJ1;ZIC4;ARID3A;TBX4;GTF2H4;BATF;RAD51;NR6A1;POU2AF3;WT1;ZNF219;POU2AF2","MF","Up",0.190307328605201,0.000604371365486458,161
"RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)","220/1225",5.59396154432423e-06,0.000697646918313578,0,0,1.42507462686567,17.2346000677558,"ZNF296;EHF;SCX;SOX2;HOXA9;ZNF728;ZSCAN31;ZNF607;ZNF727;ZNF726;ZNF605;ZNF724;HOXA3;ZNF723;SOX9;SOX4;HES6;EBF1;EBF2;SOX11;SOX12;OVOL1;RFX8;HOXB9;RFX6;ZNF716;RFX5;ZNF714;ZNF711;HOXB7;HOXD1;PRDM15;CYP27B1;PRDM16;ZBED2;ALX3;HOXC4;HOXC9;HOXC8;ZSCAN16;NKX2-3;HOXC6;FOXF2;ZNF382;BCL11A;ISX;NFATC4;SNAI2;GTF2IRD1;HOXD4;HOXD3;SIM1;ZNF257;HOXD9;SIM2;HOXD8;TP73;MESP2;MESP1;HMX3;ZNF251;ZNF492;ZNF43;GLI1;MEOX2;MEOX1;HOXC10;DMBX1;GLI4;HEY1;MECOM;FEZF1;TEAD2;FOXD4;FOXD2;TCF15;EN2;PAX6;ZNF57;POU5F1;NR5A1;PAX8;TAL2;TGIF2LX;ZNF239;FOXC2;ZNF66;HOXD10;FOXS1;HSF4;ZNF468;MSX1;ZNF467;ZNF341;ARNT2;ZNF580;CDX2;CDX1;VAX2;BATF;ZNF71;WT1;ZNF219;ZNF578;ZNF213;ZNF454;ZNF696;ZNF695;ZNF692;DACH2;HOXA13;HOXA11;FOXQ1;HOXA10;SALL2;ZNF83;SALL4;ZNF208;ZNF85;PITX2;PITX1;ZNF320;OSR2;ZNF681;ZNF98;ZNF99;POU3F2;ZNF90;MYCN;ZNF93;LMX1B;ZNF676;ZNF431;ZNF793;DLX1;GCM1;DLX2;DLX3;DLX4;DLX5;DLX6;FOXO6;HOXB13;GLIS2;SOHLH2;ZKSCAN3;ZNF789;OTX1;MSC;ZNF300;TFAP2A;MGAM;TFAP2E;HMGA1;RFXANK;EVX1;POU2F3;LHX3;TLX2;MAFG;TLX1;NFE2L3;SP6;SP8;MELTF;TCF3;LHX4;ZNF534;MXD3;ZNF530;RHOXF1;SIX1;NR2E1;FOXM1;ZIC2;SIX4;SIX2;ZNF648;MYBL2;MYBL1;NKX3-2;ZNF883;EMX1;KLF13;DNMT3A;FOXL1;ETV4;RBL1;TFDP3;ZNF517;PLAG1;LEF1;FOXK1;BARX1;CIART;E2F1;E2F2;E2F5;HES2;E2F7;STOX1;HES5;E2F8;DRGX;HES4;H2AZ1;PRRX1;IRX5;IRX6;IRX3;KCNIP3;PDX1;FOXJ1;ZIC4;ZIC5;TBX4;TBX18;ZNF732;ZNF610;ZNF730","MF","Up",0.179591836734694,0.000697646918313578,220
"Metalloendopeptidase Activity (GO:0004222)","30/101",1.92376605048729e-05,0.00209930970259425,0,0,2.70312581810566,29.3522720676037,"ADAMDEC1;ADAM22;ADAM21;PHEX;ADAMTS16;ADAMTS14;MMP24;ADAMTS18;ADAM23;PRSS2;ADAMTS6;MMP7;MMP1;MMP3;ECEL1;ADAM11;ADAM32;MMEL1;MMP9;MMP10;ADAMTS20;MMP12;MMP11;MMP14;ADAM15;MEP1A;ADAM12;MMP17;TLL2;TRABD2A","MF","Up",0.297029702970297,0.00209930970259425,30
"Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)","196/1098",2.67445783694445e-05,0.00259422410183611,0,0,1.41000628994908,14.8462083119466,"ZNF296;EHF;SOX2;HOXA9;ZNF728;ZSCAN31;ZNF607;ZNF727;ZNF726;ZNF605;ZNF724;HOXA3;ZNF723;SOX9;SOX4;HES6;EBF1;EBF2;SOX11;SOX12;OVOL1;ISL2;RFX8;HOXB9;RFX6;ZNF716;RFX5;ZNF714;ZNF711;HOXB7;HOXD1;PRDM15;CYP27B1;PRDM16;HOXC4;HOXC9;ZSCAN16;NKX2-3;HOXC6;FOXF2;ZNF382;BCL11A;NFATC4;SNAI2;GTF2IRD1;HOXD4;HOXD3;ZNF257;HOXD9;TP73;MESP2;MESP1;ZNF251;ZNF492;ZNF43;GLI1;MEOX2;MEOX1;HOXC10;GLI4;HEY1;MECOM;FEZF1;TEAD2;FOXD4;FOXD2;EN2;PAX6;POU5F1;NR5A1;PAX8;TAL2;TGIF2LX;ZNF239;FOXC2;ZNF66;HOXD10;FOXS1;HSF4;ZNF468;ZNF467;ZNF341;ARNT2;ZNF580;CDX2;CDX1;VAX2;BATF;ZNF71;WT1;ZNF219;ZNF578;ZNF213;ZNF454;ZNF695;ZNF692;DACH2;HOXA13;HOXA11;FOXQ1;HOXA10;SALL2;ZNF83;SALL4;ZNF208;ZNF85;PITX2;PITX1;ZNF320;ZNF681;ZNF98;ZNF99;POU3F2;ZNF90;MYCN;ZNF93;ZNF676;ZNF431;ZNF793;DLX1;GCM1;DLX2;DLX3;DLX4;DLX5;DLX6;FOXO6;HOXB13;GLIS2;SOHLH2;ZKSCAN3;ZNF789;OTX1;MSC;ZNF300;TFAP2A;MGAM;HMGA1;FOXN4;EVX1;POU2F3;TLX2;MAFG;TLX1;NFE2L3;SP6;SP8;MELTF;TCF3;ZNF534;MXD3;ZNF530;HMGB2;SIX1;NR2E1;ZIC2;SIX4;SIX2;ZNF648;MYBL2;MYBL1;NKX3-2;ZNF883;EMX1;KLF13;DNMT3A;FOXL1;ETV4;UHRF1;PLAG1;LEF1;FOXK1;CIART;E2F1;E2F2;E2F5;HES2;E2F7;HES5;E2F8;HES4;H2AZ1;PRRX1;IRX5;IRX6;IRX3;KCNIP3;PDX1;FOXJ1;ZIC4;ZIC5;TBX4;TBX18;ZNF732;ZNF610;ZNF730","MF","Up",0.178506375227687,0.00259422410183611,196
"RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)","199/1122",3.44766515670593e-05,0.00300981168180427,0,0,1.39888554774778,14.3738682696502,"ZNF296;EHF;SCX;SOX2;HOXA9;ZNF728;ZSCAN31;ZNF607;ZNF727;ZNF726;CREB3L1;ZNF605;ZNF724;HOXA3;ZNF723;SOX9;SOX4;HES6;EBF1;EBF2;SOX11;BHLHA15;SOX12;OVOL1;RFX8;HOXB9;RFX6;ZNF716;RFX5;ZNF714;ZNF711;HOXB7;HOXD1;PRDM15;CYP27B1;PRDM16;HOXC4;HOXC9;ZSCAN16;NKX2-3;HOXC6;FOXF2;ZNF382;BCL11A;NFATC4;SNAI2;GTF2IRD1;HOXD4;HOXD3;ZNF257;HOXD9;TP73;MESP2;MESP1;ZNF251;ZNF492;ZNF43;GLI1;MEOX2;MEOX1;HOXC10;GLI4;HEY1;MECOM;FEZF1;TEAD2;FOXD4;FOXD2;TCF15;EN2;PAX6;POU5F1;NR5A1;PAX8;TAL2;TGIF2LX;ZNF239;FOXC2;ZNF66;HOXD10;FOXS1;HSF4;ZNF468;ZNF467;RXRG;ZNF341;ARNT2;ZNF580;CDX2;CDX1;VAX2;BATF;NR6A1;ZNF71;WT1;ZNF219;ZNF578;ZNF213;ZNF454;ZNF695;ZNF692;DACH2;HOXA13;HOXA11;FOXQ1;HOXA10;SALL2;ZNF83;SALL4;ZNF208;ZNF85;PITX2;PITX1;ZNF320;ZNF681;ZNF98;ZNF99;POU3F2;ZNF90;MYCN;ZNF93;ZNF676;ZNF431;ZNF793;DLX1;GCM1;DLX2;DLX3;DLX4;DLX5;DLX6;FOXO6;HOXB13;GLIS2;SOHLH2;ZKSCAN3;ZNF789;OTX1;MSC;ZNF300;TFAP2A;MGAM;HMGA1;HMGA2;EVX1;POU2F3;TLX2;MAFG;TLX1;NFE2L3;SP6;SP8;MELTF;TCF3;ZNF534;MXD3;ZNF530;SIX1;NR2E1;ZIC2;SIX4;SIX2;ZNF648;MYBL2;MYBL1;NKX3-2;ZNF883;EMX1;KLF13;DNMT3A;FOXL1;ETV4;PLAG1;LEF1;FOXK1;CIART;E2F1;E2F2;E2F5;HES2;E2F7;HES5;E2F8;HES4;H2AZ1;PRRX1;IRX5;IRX6;IRX3;KCNIP3;PDX1;FOXJ1;ZIC4;ZIC5;TBX4;TBX18;ZNF732;ZNF610;ZNF730","MF","Up",0.177361853832442,0.00300981168180427,199
"Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538)","17/46",6.09577754472654e-05,0.00483783072413297,0,0,3.74127087399696,36.310265231262,"CDKN2B;CDKN2C;CDKN2A;CCNF;CKS1B;CCNA2;CCNB2;CCNB1;CCNE2;CCNE1;CCNI2;CKS2;CCNP;CCNO;CCNJL;CDK5R1;MCM2","MF","Up",0.369565217391304,0.00483783072413297,17
"Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:1904315)","14/34",6.84059069868445e-05,0.00497652973329294,0,0,4.46489283074649,42.8185516423713,"CHRNA1;CHRNB2;GABRA2;GRIA2;CHRNA3;CHRNB4;CHRNA5;GRIK4;GRIK2;GRIN2C;GRIN2D;CHRND;GRIN2A;GRIN3B","MF","Up",0.411764705882353,0.00497652973329294,14
"High Voltage-Gated Calcium Channel Activity (GO:0008331)","11/23",8.03697366669851e-05,0.00532155271642258,0,0,5.84311554078996,55.0939935535682,"CACNB1;CACNA1I;CACNB3;CACNB4;SCN4A;CACNA1C;CACNA1S;SCN5A;CACNA1E;CACNA1G;SCN1A","MF","Up",0.478260869565217,0.00532155271642258,11
