"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Ontology","Direction","GeneRatio","p.adjust","Count"
"Cell cycle","40/124",7.43630007957548e-08,2.3052530246684e-05,0,0,3.05543710021322,50.1528835596306,"PCNA;MCM7;BUB1B;TTK;PKMYT1;CDC20;CCNB2;CCNB1;ORC6;CDC45;PTTG1;ORC1;CHEK1;E2F1;E2F2;SFN;E2F5;BUB1;CDKN2B;CDKN2C;CDKN2A;PLK1;CDC7;CDC6;CDC25C;CDC25A;CDC25B;SMC1B;CCNA2;RBL1;CCNE2;ESPL1;CCNE1;CDK1;MCM3;MCM4;MCM5;MCM6;MCM2;MAD2L1","KEGG","Up",0.32258064516129,2.3052530246684e-05,40
"DNA replication","17/36",1.15531714630839e-06,0.000179074157677801,0,0,5.71367096987752,78.1123709808461,"PRIM2;FEN1;RFC3;PCNA;RFC4;MCM7;LIG1;PRIM1;POLA2;POLD1;POLE2;MCM3;MCM4;MCM5;DNA2;MCM6;MCM2","KEGG","Up",0.472222222222222,0.000179074157677801,17
"Neuroactive ligand-receptor interaction","77/341",3.75032361803665e-06,0.000387533440530453,0,0,1.87779038970866,23.4604904979719,"NPFFR2;GLP1R;CHRM3;UCN;OXTR;GRIK4;ADRA1D;GRIK2;GRPR;HTR4;GABRR3;GABRR2;GRM2;GRM4;GRM7;ADORA1;BDKRB2;BDKRB1;PRSS3;PRSS2;CHRNB2;CHRNB4;EDN3;GPR35;AVPR2;PTH2R;TACR1;ADRA2C;GABRG3;SSTR3;GABRG2;SSTR5;UTS2B;GAL;MTNR1B;UTS2;CHRNA1;PTGFR;GRIA2;CALCA;CHRNA3;CALCB;GRP;CHRNA5;GIPR;LPAR3;NTS;MCHR1;CRHR2;GHRHR;CHRND;GRIN2A;CALCR;GALR3;GALR2;CNR1;KISS1R;TAC4;TAC3;GABRE;GABRD;DRD4;GABRA2;GABRQ;GABBR2;NMB;GABRA3;HTR1D;SCTR;GRIN2C;GRIN2D;GRIN1;APLN;KISS1;GRIN3B;GNRH1;F2RL3","KEGG","Up",0.225806451612903,0.000387533440530453,77
"ECM-receptor interaction","27/88",2.6017709268819e-05,0.00199516262418604,0,0,2.83012424439804,29.8768663617585,"ITGB4;LAMA4;LAMA3;LAMC1;HMMR;THBS4;COMP;IBSP;SPP1;VWF;LAMB3;ITGA3;ITGA2;LAMB4;NPNT;COL1A1;COL2A1;COL1A2;FRAS1;COL4A2;COL4A1;ITGA11;COL4A6;COL9A1;COL4A5;ITGA6;COL9A2","KEGG","Up",0.306818181818182,0.00199516262418604,27
"Nicotine addiction","16/40",3.21800423255812e-05,0.00199516262418604,0,0,4.25443786982249,44.0086034834841,"CHRNB2;GABRA2;GABRQ;GRIA2;GABRA3;GRIN2C;GABRG3;GABRG2;GRIN1;GRIN2D;GABRR3;GABRR2;GRIN2A;GRIN3B;GABRE;GABRD","KEGG","Up",0.4,0.00199516262418604,16
"Insulin secretion","26/86",4.83013276313732e-05,0.00249556859428761,0,0,2.76985894580549,27.5270008802107,"GLP1R;CHRM3;RYR2;SNAP25;CAMK2A;SLC2A1;ATP1A2;ITPR3;CACNA1C;ADCY8;ADCY6;RIMS2;CREB3L1;KCNMB3;KCNN1;CACNA1S;KCNN3;KCNJ11;ABCC8;PDX1;GCK;KCNU1;PLCB4;FXYD2;PLCB1;STX1A","KEGG","Up",0.302325581395349,0.00249556859428761,26
"GnRH secretion","20/64",0.000211960597362008,0.00938682645460323,0,0,2.9016835016835,24.5456603961919,"HCN3;GABBR2;KCNJ5;KCNJ6;KCNJ11;TRPC4;ITPR3;CACNA1C;CACNA1G;KISS1;CACNA1I;PLCB4;KISS1R;SPP1;KCNN1;GNRH1;CACNA1S;KCNN3;PLCB1;HCN2","KEGG","Up",0.3125,0.00938682645460323,20
"GABAergic synapse","25/89",0.000244831593201582,0.00948722423656132,0,0,2.49536178107607,20.7487833842765,"SRC;CACNA1C;ADCY8;ADCY6;GLS;GABRR3;GNGT1;GABRR2;GNG4;CACNA1S;GABRE;GLUL;GABRD;SLC38A5;GABRA2;GABRQ;GABBR2;SLC38A1;KCNJ6;SLC12A5;GAD1;GABRA3;SLC6A11;GABRG3;GABRG2","KEGG","Up",0.280898876404494,0.00948722423656132,25
"Protein digestion and absorption","27/103",0.000479466061040731,0.0165149421025141,0,0,2.26956827642817,17.3459414094296,"COL15A1;COL11A1;ATP1A2;SLC8A2;COL10A1;PRSS3;PRSS2;SLC36A1;CPA2;COL24A1;COL22A1;COL1A1;SLC9A3;COL1A2;COL2A1;COL4A2;COL4A1;MEP1A;COL5A3;FXYD2;COL7A1;COL4A6;COL9A1;COL4A5;COL8A1;COL21A1;COL9A2","KEGG","Up",0.262135922330097,0.0165149421025141,27
"Fanconi anemia pathway","17/54",0.000561615439078412,0.0174100786114308,0,0,2.93098759136495,21.9375429365624,"FANCI;RMI2;BLM;CENPX;POLN;FANCA;FAAP24;FANCB;BRCA2;FANCE;FANCG;BRIP1;RAD51;EME1;EME2;FANCD2;UBE2T","KEGG","Up",0.314814814814815,0.0174100786114308,17
"Hypertrophic cardiomyopathy","24/90",0.000739509764395434,0.0208407297238713,0,0,2.32182357701646,16.7392406472654,"RYR2;PRKAA2;ACE;ITGB4;ITGA3;ITGA2;TNNC1;TPM2;CACNA2D3;ATP2A1;CACNA1C;SLC8A2;CACNB1;CACNB3;CACNG8;CACNB4;ACTC1;TNNT2;ITGA11;ITGA6;TNNI3;CACNA1S;CACNG1;CACNG4","KEGG","Up",0.266666666666667,0.0208407297238713,24
"Small cell lung cancer","24/92",0.00103593164590938,0.0267615675193257,0,0,2.25327282248211,15.485514083729,"CDKN2B;LAMB3;NOS2;ITGA3;ITGA2;LAMA4;LAMA3;LAMB4;TRAF2;LAMC1;CKS1B;CCNE2;COL4A2;CCNE1;COL4A1;TRAF5;CKS2;COL4A6;E2F1;COL4A5;E2F2;ITGA6;BIRC7;RXRG","KEGG","Up",0.260869565217391,0.0267615675193257,24
"Glutamatergic synapse","28/114",0.00115489375752665,0.0275397742179432,0,0,2.07951207712775,14.0652934152281,"GRIA2;SLC1A3;GRIK4;ITPR3;CACNA1C;GRIK2;ADCY8;SLC1A7;ADCY6;GLS;GNGT1;GRM2;GRIN2A;GRM4;GRM7;GNG4;HOMER3;GLUL;SLC38A1;PLA2G4F;PLA2G4E;PLA2G4C;GRIN2C;GRIN2D;GRIN1;GRIN3B;PLCB4;PLCB1","KEGG","Up",0.245614035087719,0.0275397742179432,28
"Adrenergic signaling in cardiomyocytes","34/150",0.0016581417206746,0.036715995243509,0,0,1.87298123090354,11.9909340031076,"RYR2;CALML6;CAMK2A;ADRA1D;ATP2A1;ATP1A2;CACNA1C;ADCY8;ADCY6;SLC8A2;CACNG8;CREB3L1;TNNI3;CACNA1S;SCN5A;CACNG1;CACNG4;TPM2;TNNC1;CACNA2D3;PPP2R3B;MAPK12;MAPK13;CACNB1;MAPK11;CACNB3;CACNB4;PLCB4;ACTC1;PPP2R2C;FXYD2;TNNT2;PLCB1;SCN4B","KEGG","Up",0.226666666666667,0.036715995243509,34
"Dilated cardiomyopathy","24/96",0.00194564461729246,0.0381766155688988,0,0,2.12759643916914,13.2808015035969,"RYR2;ITGB4;ITGA3;ITGA2;TNNC1;TPM2;CACNA2D3;ATP2A1;CACNA1C;ADCY8;ADCY6;SLC8A2;CACNB1;CACNB3;CACNG8;CACNB4;ACTC1;TNNT2;ITGA11;ITGA6;TNNI3;CACNA1S;CACNG1;CACNG4","KEGG","Up",0.25,0.0381766155688988,24
"Alcoholism","40/186",0.00197040596484639,0.0381766155688988,0,0,1.75158454303823,10.9115233825972,"SHC4;H2AX;SHC3;CALML6;HDAC11;SLC6A3;H2AC11;GNGT1;H2AC13;GRIN2A;GNG4;CREB3L1;H3C10;H3C3;H3C2;H4C4;H4C5;H3C6;H4C8;H2AZ1;H2BC9;H3C8;H2AC8;H2BC7;H4C9;H2BC8;H2BC6;GRIN2C;H2BC17;H2BC18;GRIN2D;GRIN1;GRIN3B;H2BC15;H4C14;H2AC20;PKIA;H4C12;PPP1R1B;H2BC11","KEGG","Up",0.21505376344086,0.0381766155688988,40
"Cardiac muscle contraction","22/87",0.00251857231604886,0.0459269069397145,0,0,2.15960540571363,12.9232149740892,"RYR2;TNNC1;TPM2;COX4I2;CACNA2D3;ATP2A1;ATP1A2;CACNA1C;COX7B2;SLC8A2;CACNB1;CACNB3;CACNG8;CACNB4;ACTC1;TNNT2;FXYD2;CASQ2;TNNI3;CACNA1S;CACNG1;CACNG4","KEGG","Up",0.252873563218391,0.0459269069397145,22
