"ENSEMBL","Coefficient","AbsCoef","Direction","SYMBOL"
"ENSG00000189064.8",0.0872,0.0872,"Risk","GAGE2A"
"ENSG00000169297.8",0.0691,0.0691,"Risk","NR0B1"
"ENSG00000109674.4",0.0567,0.0567,"Risk","NEIL3"
"ENSG00000128710.6",0.0491,0.0491,"Risk","HOXD10"
"ENSG00000118785.14",0.0359,0.0359,"Risk","SPP1"
"ENSG00000126838.10",-0.035,0.035,"Protective","PZP"
"ENSG00000138100.14",0.0323,0.0323,"Risk","TRIM54"
"ENSG00000226372.4",0.0299,0.0299,"Risk","DCAF8L1"
"ENSG00000165606.9",0.024,0.024,"Risk","DRGX"
"ENSG00000176956.13",0.014,0.014,"Risk","LY6H"
"ENSG00000112164.6",0.0066,0.0066,"Risk","GLP1R"
