"source","target","weight","evidence_type"
"SEMA3F","NRCAM",0.000551,"Text-mining"
"SEMA3F","PLXNA1",0.000925,"Experiments"
"SEMA3F","PLXNA3",0.000971,"Experiments"
"HOXA11","CDC6",0.000493,"Text-mining"
"KIF22","KIF18A",0.00054,"Databases"
"KIF22","KIF21B",0.00054,"Databases"
"KIF22","KIF5A",0.00054,"Databases"
"KIF22","KIF23",0.00054,"Databases"
"KIF22","KIF11",0.00054,"Databases"
"KIF22","KIF20A",0.00054,"Databases"
"KIF22","KIFC2",0.00054,"Databases"
"KIF22","KIF18B",0.00054,"Databases"
"KIF22","KIF2C",0.00054,"Databases"
"KIF22","KIF15",0.00054,"Databases"
"KIF22","KLC2",0.00054,"Databases"
"KIF22","KIFC1",0.000553,"Databases"
"KIF22","KIF14",0.00066,"Experiments + Databases"
"TRIP13","BUB1B",0.000457,"Experiments"
"TRIP13","CDC20",0.00095,"Experiments"
"TRIP13","MAD2L1",0.000961,"Experiments"
"BPIFB2","BPIFA2",4e-04,"Databases"
"BPIFB2","BPIFB4",4e-04,"Databases"
"CA12","CA4",0.000499,"Databases"
"OTUB2","TRIM54",0.000406,"Experiments"
"OTUB2","PKM",0.000457,"Experiments"
"CDC6","CCNF",0.000422,"Experiments"
"CDC6","CCNB2",0.000453,"Experiments"
"CDC6","CLSPN",0.000499,"Databases"
"CDC6","CDK1",0.00054,"Experiments"
"CDC6","PPP2R3B",0.000612,"Experiments"
"CDC6","E2F1",0.000636,"Experiments"
"CDC6","CDKN2A",0.00077,"Experiments"
"CDC6","CDC7",0.000818,"Databases"
"CDC6","CDC45",0.000904,"Databases"
"CDC6","MCM6",0.000909,"Experiments + Databases"
"CDC6","MCM5",0.000925,"Experiments + Databases"
"CDC6","MCM4",0.000929,"Experiments + Databases"
"CDC6","MCM10",0.000948,"Experiments + Databases"
"CDC6","MCM8",0.000949,"Experiments + Databases"
"CDC6","CCNA2",0.000974,"Experiments"
"CDC6","MCM2",0.000979,"Experiments + Databases"
"CDC6","ORC1",0.000993,"Experiments + Databases"
"CDC6","MCM7",0.000995,"Experiments + Databases"
"CDC6","ORC6",0.000997,"Experiments + Databases"
"CDC6","MCM3",0.000998,"Experiments + Databases"
"CDC6","CDT1",0.000999,"Experiments + Databases"
"MAPK12","CTNNA2",0.000499,"Databases"
"MAPK12","SCRIB",0.000673,"Experiments"
"MAPK12","MAPK11",0.000677,"Experiments"
"CENPM","OIP5",0.000499,"Databases"
"CENPM","HJURP",0.000499,"Databases"
"CENPM","H4C5",8e-04,"Experiments"
"CENPM","H4C8",8e-04,"Experiments"
"CENPM","H4C12",8e-04,"Experiments"
"CENPM","H4C14",8e-04,"Experiments"
"CENPM","H2BC8",8e-04,"Experiments"
"CENPM","H2BC6",8e-04,"Experiments"
"CENPM","CENPW",0.000972,"Experiments + Databases"
"CENPM","CENPA",0.000974,"Experiments + Databases"
"CENPM","CENPL",0.000992,"Experiments + Databases"
"CENPM","CENPU",0.000993,"Experiments + Databases"
"CENPM","CENPO",0.000997,"Experiments + Databases"
"CENPM","CENPH",0.000999,"Experiments + Databases"
"CENPM","CENPK",0.000999,"Experiments + Databases"
"CENPM","CENPI",0.000999,"Experiments + Databases"
"DMC1","H2BC15",0.000499,"Databases"
"DMC1","H2AX",0.000499,"Databases"
"DMC1","H2BC9",0.000499,"Databases"
"DMC1","H2BC17",0.000499,"Databases"
"DMC1","H2BC11",0.000499,"Databases"
"DMC1","RAD51AP1",0.000544,"Experiments"
"DMC1","KCTD17",0.000587,"Experiments"
"DMC1","RAD51",0.00094,"Experiments + Databases"
"DMC1","BRCA2",0.000954,"Experiments + Databases"
"MCM5","CENPI",4e-04,"Text-mining"
"MCM5","RRM2",0.000416,"Text-mining"
"MCM5","CCNB2",0.000428,"Text-mining"
"MCM5","RECQL4",0.000457,"Experiments"
"MCM5","TONSL",0.000466,"Experiments"
"MCM5","POLD1",0.000491,"Experiments"
"MCM5","MCMDC2",0.000506,"Experiments"
"MCM5","MMS22L",0.000517,"Text-mining"
"MCM5","CCNA2",0.000648,"Text-mining"
"MCM5","CDKN2A",0.000689,"Experiments"
