"node_id","MCC","Degree","Closeness","Betweenness","Avg_Rank"
"CDK1",0.2,59,0.345843,0.217162,2
"H2AX",0.2,44,0.311979,0.047166,6.25
"PLK1",0.1,47,0.315097,0.058243,8.5
"PCNA",0.1,43,0.309401,0.08585,9.5
"H2BC11",0.2,43,0.298902,0.030236,12.25
"BUB1B",0.2,38,0.305768,0.02735,13.25
"AURKB",0.1,32,0.306551,0.058066,14.5
"CCNB1",0.1,39,0.310041,0.032735,14.75
"CDC20",0.1,33,0.316429,0.033067,16.5
"BRCA2",0.1,39,0.29965,0.025283,19
"H2BC9",0.2,38,0.298902,0.01983,19
"EZH2",0.1,28,0.303907,0.033002,21
"RAD51",0.1,36,0.295511,0.031363,21.25
"CCNA2",0.1,31,0.308763,0.02264,23
"H2BC15",0.2,38,0.29248,0.018491,24.25
"SOX2",0.1,21,0.29801,0.046708,26
"KIF20A",0.1,27,0.285374,0.042549,27.75
"CENPA",0.2,37,0.280957,0.019953,29.5
"H4C14",0.3,40,0.285374,0.013363,33.25
"AURKA",0.1,21,0.293627,0.020849,34.75
"CCNB2",0.1,27,0.298158,0.015861,34.75
"MCM4",0.2,32,0.293771,0.012029,36.75
"UBE2C",0.1,23,0.301459,0.015547,36.75
"MCM2",0.2,36,0.283483,0.013983,37
"H2BC17",0.2,37,0.292195,0.011824,37.25
"KIF11",0.1,21,0.285919,0.020546,38.5
"MCM7",0.2,28,0.283349,0.013604,40.5
"DNMT1",0.1,21,0.285374,0.019111,41.25
"POLE2",0.1,27,0.285919,0.014912,41.75
"H3C2",0.1,28,0.28729,0.012508,44
"BARD1",0.1,32,0.284831,0.012488,45
"H2AZ1",0.1,32,0.288258,0.010267,45.75
"H3C10",0.1,27,0.28729,0.012004,46.75
"UBE2S",0.1,20,0.300703,0.0121,47.75
"CDC6",0.1,22,0.28551,0.013402,48.5
"E2F1",0,19,0.295074,0.048778,49
"CCNE1",0,17,0.297714,0.099343,49.25
"H4C12",0.3,38,0.280957,0.007474,49.75
"H4C5",0.3,38,0.280957,0.007474,49.75
"H4C8",0.3,38,0.280957,0.007474,49.75
"CDT1",0.1,23,0.29191,0.010406,50.5
"BUB1",0.1,22,0.291059,0.010229,52.5
"H3C6",0.1,25,0.286877,0.00966,52.75
"DNMT3B",0.1,18,0.268129,0.028707,53.5
"FANCD2",0.1,25,0.280299,0.011713,54.75
"ORC1",0.1,24,0.294783,0.007542,54.75
"CDC45",0.2,28,0.276802,0.008373,56.25
"MCM6",0.2,29,0.282814,0.005839,62
"KIF23",0.1,23,0.270307,0.011914,62.75
"MCM3",0.2,32,0.279384,0.005786,64.25
"EHMT2",0,17,0.273891,0.056151,64.5
"KAT2A",0,15,0.279907,0.050065,65
"ORC6",0.1,18,0.277058,0.011459,65.25
"RECQL4",0.1,18,0.26765,0.015433,65.5
"TOP2A",0,14,0.29406,0.019916,67.75
"CDKN2A",0,15,0.280299,0.028967,68.75
"CDCA8",0,15,0.287842,0.01885,69.25
"MCM5",0.2,30,0.275276,0.005222,70.25
"BIRC5",0.1,19,0.295949,0.004691,71.75
