gene_A	gene_B	combined_score	neighborhood	fusion	cooccurence	coexpression	experiments	database	textmining	evidence_type
SEMA3F	NRCAM	0.000551	0	0	0	0	0	0	0.551	Text-mining
SEMA3F	PLXNA1	0.000925	0	0	0	0	0.077	0	0.922	Experiments
SEMA3F	PLXNA3	0.000971	0	0	0	0	0.077	0	0.97	Experiments
HOXA11	CDC6	0.000493	0	0	0	0	0	0	0.493	Text-mining
KIF22	KIF18A	0.00054	0	0	0	0	0	0.54	0	Databases
KIF22	KIF21B	0.00054	0	0	0	0	0	0.54	0	Databases
KIF22	KIF5A	0.00054	0	0	0	0	0	0.54	0	Databases
KIF22	KIF23	0.00054	0	0	0	0	0	0.54	0	Databases
KIF22	KIF11	0.00054	0	0	0	0	0	0.54	0	Databases
KIF22	KIF20A	0.00054	0	0	0	0	0	0.54	0	Databases
KIF22	KIFC2	0.00054	0	0	0	0	0	0.54	0	Databases
KIF22	KIF18B	0.00054	0	0	0	0	0	0.54	0	Databases
KIF22	KIF2C	0.00054	0	0	0	0	0	0.54	0	Databases
KIF22	KIF15	0.00054	0	0	0	0	0	0.54	0	Databases
KIF22	KLC2	0.00054	0	0	0	0	0	0.54	0	Databases
KIF22	KIFC1	0.000553	0	0	0	0	0	0.54	0.07	Databases
KIF22	KIF14	0.00066	0	0	0	0	0.292	0.54	0	Experiments + Databases
TRIP13	BUB1B	0.000457	0	0	0	0	0.457	0	0	Experiments
TRIP13	CDC20	0.00095	0	0	0	0	0.935	0	0.261	Experiments
TRIP13	MAD2L1	0.000961	0	0	0	0	0.961	0	0	Experiments
BPIFB2	BPIFA2	4e-04	0	0	0	0	0	0.4	0	Databases
BPIFB2	BPIFB4	4e-04	0	0	0	0	0	0.4	0	Databases
CA12	CA4	0.000499	0	0	0	0	0	0.5	0	Databases
OTUB2	TRIM54	0.000406	0	0	0	0	0.406	0	0	Experiments
OTUB2	PKM	0.000457	0	0	0	0	0.457	0	0	Experiments
CDC6	CCNF	0.000422	0	0	0	0	0.421	0	0.044	Experiments
CDC6	CCNB2	0.000453	0	0	0	0	0.142	0	0.389	Experiments
CDC6	CLSPN	0.000499	0	0	0	0	0	0.5	0	Databases
CDC6	CDK1	0.00054	0	0	0	0	0.54	0	0	Experiments
CDC6	PPP2R3B	0.000612	0	0	0	0	0.292	0	0.475	Experiments
CDC6	E2F1	0.000636	0	0	0	0	0.465	0	0.348	Experiments
CDC6	CDKN2A	0.00077	0	0	0	0	0.689	0	0.292	Experiments
CDC6	CDC7	0.000818	0	0	0	0	0	0.5	0.651	Databases
CDC6	CDC45	0.000904	0	0	0	0	0	0.5	0.817	Databases
