"SYMBOL","in_RF","in_LASSO","in_PPI","n_methods","tier"
"DRGX",TRUE,TRUE,FALSE,2,"Strong (2/3 methods)"
"GAGE2A",TRUE,TRUE,FALSE,2,"Strong (2/3 methods)"
"GLP1R",TRUE,TRUE,FALSE,2,"Strong (2/3 methods)"
"LY6H",TRUE,TRUE,FALSE,2,"Strong (2/3 methods)"
"NR0B1",TRUE,TRUE,FALSE,2,"Strong (2/3 methods)"
"SPP1",TRUE,TRUE,FALSE,2,"Strong (2/3 methods)"
"TRIM54",TRUE,TRUE,FALSE,2,"Strong (2/3 methods)"
"BUB1B",FALSE,FALSE,TRUE,1,"Candidate (1/3 methods)"
"CDK1",FALSE,FALSE,TRUE,1,"Candidate (1/3 methods)"
"DCAF8L1",FALSE,TRUE,FALSE,1,"Candidate (1/3 methods)"
"EGF",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
"EGFL6",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
"FIBCD1",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
"H2AX",FALSE,FALSE,TRUE,1,"Candidate (1/3 methods)"
"HAVCR1",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
"HOXD10",FALSE,TRUE,FALSE,1,"Candidate (1/3 methods)"
"MEP1A",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
"NEIL3",FALSE,TRUE,FALSE,1,"Candidate (1/3 methods)"
"NQO1",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
"NUF2",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
"PAGE1",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
"PCNA",FALSE,FALSE,TRUE,1,"Candidate (1/3 methods)"
"PLK1",FALSE,FALSE,TRUE,1,"Candidate (1/3 methods)"
"PZP",FALSE,TRUE,FALSE,1,"Candidate (1/3 methods)"
"SLC7A11",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
"TGIF2LX",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
"TINAG",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
"UBE2C",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
"ZIC2",TRUE,FALSE,FALSE,1,"Candidate (1/3 methods)"
