"Gene","HR","CI_lower","CI_upper","p_value","Significant","in_LASSO","in_PPI","in_RF","n_methods","Prognostic_Score"
"NR0B1",1.24710386091644,1.14090592669909,1.36318692323077,1.15662448349065e-06,"Yes (p<0.05)",TRUE,FALSE,TRUE,2,1729169.69037701
"GAGE2A",1.3576355981133,1.19796044374439,1.53859372142821,1.67422101091018e-06,"Yes (p<0.05)",TRUE,FALSE,TRUE,2,1194585.41433111
"PLK1",1.37233698055972,1.19925883732421,1.57039392131043,4.19105970825179e-06,"Yes (p<0.05)",FALSE,TRUE,FALSE,1,238603.138492896
"SPP1",1.1237933322484,1.06714319711641,1.18345078431699,9.76120038029959e-06,"Yes (p<0.05)",TRUE,FALSE,TRUE,2,204892.833061441
"TRIM54",1.20479040261257,1.09859268704318,1.3212539381944,7.58362577663154e-05,"Yes (p<0.05)",TRUE,FALSE,TRUE,2,26372.6093416011
"CDK1",1.31040199752099,1.14553109115563,1.49900199860548,8.13544406557521e-05,"Yes (p<0.05)",FALSE,TRUE,FALSE,1,12291.8920213767
"BUB1B",1.29050234841191,1.12549876646503,1.47969625634272,0.000258434964679328,"Yes (p<0.05)",FALSE,TRUE,FALSE,1,3869.44545696758
"H2AX",1.30014910088335,1.09442039919016,1.54455060027996,0.00282123393143333,"Yes (p<0.05)",FALSE,TRUE,FALSE,1,354.454832283953
"LY6H",1.18597753405135,1.0425925039716,1.34908193365721,0.00947574655164504,"Yes (p<0.05)",TRUE,FALSE,TRUE,2,211.065164005763
"GLP1R",1.12639893853634,1.02748418307242,1.23483610710372,0.0111445325136819,"Yes (p<0.05)",TRUE,FALSE,TRUE,2,179.460196966059
"PCNA",1.39053447456102,1.0930651269248,1.76895783912034,0.00726280964470582,"Yes (p<0.05)",FALSE,TRUE,FALSE,1,137.687761199819
"DRGX",1.15638481700715,1.0142943745033,1.31838042152161,0.0298447130563116,"Yes (p<0.05)",TRUE,FALSE,TRUE,2,67.0135442825789
